N,X,Y,Z,Time,Jitter,Time Calculated,Sender
212,-1.024,-0.002,0.002,1653088443.729139,-0.011338853836065255,1653088443.740478,20.0
213,-1.024,-0.002,0.001,1653088443.93407,-0.0064078330993666555,1653088443.9404778,20.0
214,-1.024,-0.002,0.002,1653088444.13477,-0.005708026885990591,1653088444.140478,20.0
215,-1.024,-0.002,0.002,1653088444.338277,-0.0022008419036865234,1653088444.340478,20.0
216,-1.025,-0.002,0.001,1653088444.54011,-0.0003678321838407328,1653088444.540478,20.0
217,-1.024,-0.002,0.002,1653088444.743429,0.0029510021209659953,1653088444.740478,20.0
218,-1.025,-0.002,0.001,1653088444.946267,0.005788946151731977,1653088444.9404778,20.0
219,-1.024,-0.002,0.001,1653088445.125157,-0.01532082557678649,1653088445.140478,20.0
220,-1.024,-0.002,0.002,1653088445.32796,-0.012517929077148438,1653088445.340478,20.0
221,-1.024,-0.002,0.002,1653088445.530863,-0.009614896774294834,1653088445.540478,20.0
222,-1.024,-0.002,0.002,1653088445.733252,-0.0072258949279842,1653088445.740478,20.0
223,-1.024,-0.002,0.002,1653088445.936892,-0.0035859107971205617,1653088445.9404778,20.0
224,-1.024,-0.002,0.002,1653088446.137529,-0.00294904708862731,1653088446.140478,20.0
225,-1.024,-0.002,0.002,1653088446.339608,-0.0008699893951416016,1653088446.340478,20.0
226,-1.024,-0.002,0.002,1653088446.544078,0.003600168228146572,1653088446.540478,20.0
227,-1.024,-0.002,0.002,1653088446.746547,0.00606904029845623,1653088446.740478,20.0
228,-1.024,-0.002,0.001,1653088446.948437,0.0079590320587144,1653088446.9404778,20.0
229,-1.024,-0.002,0.001,1653088447.127936,-0.012542057037357779,1653088447.140478,20.0
230,-1.025,-0.002,0.001,1653088447.330808,-0.009670019149780273,1653088447.340478,20.0
231,-1.024,-0.002,0.002,1653088447.531932,-0.008545827865603428,1653088447.540478,20.0
232,-1.024,-0.002,0.001,1653088447.735374,-0.005103969573980294,1653088447.740478,20.0
233,-1.024,-0.002,0.001,1653088447.938851,-0.0016268253326430226,1653088447.9404778,20.0
234,-1.024,-0.001,0.002,1653088448.140821,0.00034303665160706487,1653088448.140478,20.0
235,-1.024,-0.002,0.002,1653088448.343415,0.0029370784759521484,1653088448.340478,20.0
236,-1.024,-0.002,0.002,1653088448.546825,0.0063469886779756735,1653088448.540478,20.0
237,-1.024,-0.002,0.001,1653088448.748124,0.007645940780633964,1653088448.740478,20.0
238,-1.024,-0.002,0.002,1653088448.929312,-0.011165952682496538,1653088448.9404778,20.0
239,-1.025,-0.002,0.001,1653088449.12996,-0.010517883300785513,1653088449.140478,20.0
240,-1.024,-0.002,0.002,1653088449.333477,-0.007000923156738281,1653088449.340478,20.0
241,-1.024,-0.002,0.002,1653088449.536295,-0.004183006286623936,1653088449.540478,20.0
242,-1.024,-0.002,0.002,1653088449.738874,-0.0016039848327693562,1653088449.740478,20.0
243,-1.024,-0.003,0.002,1653088449.94144,0.0009621620178208445,1653088449.9404778,20.0
244,-1.024,-0.002,0.002,1653088450.142529,0.0020510673522906586,1653088450.140478,20.0
245,-1.024,-0.002,0.002,1653088450.346611,0.006133079528808594,1653088450.340478,20.0
246,-1.024,-0.002,0.002,1653088450.549265,0.008786964416501064,1653088450.540478,20.0
247,-1.024,-0.003,0.002,1653088450.728856,-0.01162185668945881,1653088450.740478,20.0
248,-1.024,-0.002,0.001,1653088450.93022,-0.010258054733277788,1653088450.9404778,20.0
249,-1.0230000000000001,-0.002,0.002,1653088451.134147,-0.006331014633182974,1653088451.140478,20.0
250,-1.0230000000000001,-0.002,0.002,1653088451.334667,-0.005810976028442383,1653088451.340478,20.0
251,-1.0230000000000001,-0.002,0.002,1653088451.538072,-0.002405834198000889,1653088451.540478,20.0
252,-1.024,-0.002,0.002,1653088451.740446,-3.185272217365309e-05,1653088451.740478,20.0
253,-1.0230000000000001,-0.002,0.002,1653088451.942873,0.002395057678221235,1653088451.9404778,20.0
254,-1.024,-0.002,0.002,1653088452.146301,0.005823087692256479,1653088452.140478,20.0
255,-1.024,-0.002,0.002,1653088452.34884,0.008362054824829102,1653088452.340478,20.0
256,-1.024,-0.002,0.002,1653088452.528383,-0.012094926834109287,1653088452.540478,20.0
257,-1.0230000000000001,-0.002,0.002,1653088452.731467,-0.009010934829717598,1653088452.740478,20.0
258,-1.024,-0.002,0.002,1653088452.932989,-0.007489061355592241,1653088452.9404778,20.0
259,-1.024,-0.002,0.002,1653088453.136263,-0.004215049743656607,1653088453.140478,20.0
260,-1.024,-0.002,0.002,1653088453.339527,-0.0009510517120361328,1653088453.340478,20.0
261,-1.024,-0.002,0.002,1653088453.541215,0.0007369995117159078,1653088453.540478,20.0
262,-1.024,-0.002,0.002,1653088453.743726,0.0032480716705265422,1653088453.740478,20.0
263,-1.024,-0.002,0.001,1653088453.947012,0.00653400421142436,1653088453.9404778,20.0
264,-1.024,-0.002,0.002,1653088454.148192,0.007713985443110971,1653088454.140478,20.0
265,-1.024,-0.002,0.002,1653088454.329371,-0.01110696792602539,1653088454.340478,20.0
266,-1.024,-0.002,0.002,1653088454.531456,-0.009021949768069248,1653088454.540478,20.0
267,-1.024,-0.002,0.002,1653088454.733155,-0.007322931289678536,1653088454.740478,20.0
268,-1.024,-0.002,0.002,1653088454.935469,-0.005009031295777788,1653088454.9404778,20.0
269,-1.024,-0.002,0.002,1653088455.137676,-0.002801942825321646,1653088455.140478,20.0
270,-1.0230000000000001,-0.002,0.002,1653088455.341082,0.0006041526794433594,1653088455.340478,20.0
271,-1.024,-0.002,0.002,1653088455.542224,0.0017459869384737203,1653088455.540478,20.0
272,-1.024,-0.002,0.001,1653088455.746537,0.006059026718133964,1653088455.740478,20.0
273,-1.0230000000000001,-0.002,0.002,1653088455.947584,0.007105970382689009,1653088455.9404778,20.0
274,-1.024,-0.002,0.001,1653088456.128193,-0.012285041809086295,1653088456.140478,20.0
275,-1.024,-0.002,0.002,1653088456.331861,-0.008616924285888672,1653088456.340478,20.0
276,-1.024,-0.002,0.002,1653088456.532516,-0.007961940765383702,1653088456.540478,20.0
277,-1.024,-0.002,0.002,1653088456.73543,-0.0050479412078914265,1653088456.740478,20.0
278,-1.024,-0.002,0.002,1653088456.937534,-0.002943849563600054,1653088456.9404778,20.0
279,-1.024,-0.002,0.002,1653088457.14098,0.0005020618438678071,1653088457.140478,20.0
280,-1.024,-0.002,0.002,1653088457.34464,0.0041620731353759766,1653088457.340478,20.0
281,-1.024,-0.002,0.002,1653088457.545427,0.0049491405487032125,1653088457.540478,20.0
282,-1.024,-0.002,0.002,1653088457.748612,0.008133983612054863,1653088457.740478,20.0
283,-1.024,-0.002,0.001,1653088457.928852,-0.011625862121583452,1653088457.9404778,20.0
284,-1.024,-0.002,0.002,1653088458.132172,-0.008305835723881216,1653088458.140478,20.0
285,-1.024,-0.002,0.002,1653088458.333475,-0.007002830505371094,1653088458.340478,20.0
286,-1.024,-0.002,0.002,1653088458.536274,-0.004203987121584873,1653088458.540478,20.0
287,-1.024,-0.002,0.002,1653088458.739002,-0.0014759540557918172,1653088458.740478,20.0
288,-1.024,-0.002,0.002,1653088458.942107,0.0016290187835679149,1653088458.9404778,20.0
289,-1.024,-0.002,0.002,1653088459.143136,0.0026580810546832367,1653088459.140478,20.0
290,-1.024,-0.002,0.001,1653088459.345642,0.005164146423339844,1653088459.340478,20.0
291,-1.024,-0.002,0.002,1653088459.548313,0.007834959030148525,1653088459.540478,20.0
292,-1.024,-0.002,0.002,1653088459.728075,-0.012402915954595528,1653088459.740478,20.0
293,-1.024,-0.002,0.002,1653088459.929416,-0.011062002182008257,1653088459.9404778,20.0
294,-1.025,-0.002,0.002,1653088460.132935,-0.007542896270756216,1653088460.140478,20.0
295,-1.024,-0.002,0.002,1653088460.335933,-0.004544973373413086,1653088460.340478,20.0
